RFM,RFM Corporation,4.7 (0.00%),4.7,5.4 (14.89%),4.52,18.077,0.06 (1.28%)
RLC,Robinson Land Corporation,20.55 (0.24%),20.5,23.88 (16.20%),17.5,14.784,0.36 (1.75%)
RLT,Philippine Realty and Holdings Corp.,0.35 (-4.11%),0.365,0.71 (102.86%),0.32,17.50,
ROCK,Rockwell Land Corporation,1.94 (0.52%),1.93,2.78 (43.30%),1.8,7.225,0.06 (3.09%)
ROX,"Roxas Holdings, Inc.",2.81 (-0.35%),2.82,5.78 (105.69%),2.61,286.735,
RRHI,"Robinsons Retail Holdings, Inc.",73.9 (-0.14%),74,101.8 (37.75%),73.55,,0.70 (0.95%)
RWM,"Travellers Int'l. Hotel Group, Inc.",5.22 (0.00%),5.22,5.45 (4.41%),3.33,,0.04 (0.77%)
SBS,SBS Philippines Corporation,6.76 (0.30%),6.74,11.8 (74.56%),5.4,,
SCC,Semirara Mining and Power Corporation,25 (-3.85%),26,39.1 (56.40%),24,3.149,5.00 (6.67%)
SECB,Security Bank Corporation,151 (-0.66%),152,260 (72.19%),132.1,11.825,3.00 (1.99%)
SEVN,Philippine Seven Corporation,107.8 (0.75%),107,195 (80.89%),98,49.00,0.65 (0.00%)
SFI,"Swift Foods, Inc.",0.122 (-2.40%),0.125,0.19 (55.74%),0.121,2.033,
SFIP,"Swift Foods, Inc. Conv. Pref.",2.09 (0.00%),2.09,4.38 (109.57%),1.85,,
SGI,"Solid Group, Inc.",1.36 (-0.73%),1.37,2.1 (54.41%),1.25,5.037,0.07 (5.15%)
SGP,"Synergy Grid and Dev't Phils., Inc.",495 (-1.00%),500,1100 (122.22%),175.1,"-3,093.75",
SHLPH,Pilipinas Shell Petroleum Corporation,48.3 (-0.51%),48.55,66.5 (37.68%),48.1,,1.65 (3.42%)
SHNG,"Shang Properties, Inc.",3.12 (-0.64%),3.14,3.59 (15.06%),3.01,5.217,0.07 (2.24%)
SLF,"Sun Life Financial, Inc.",1811 (-4.08%),1888,2000 (10.44%),1805,14.228,1.33 (0.07%)
SLI,"Sta. Lucia Land, Inc.",1.15 (0.00%),1.15,1.22 (6.09%),0.98,14.557,
SM,SM Investments Corporation,920 (-2.13%),940,1142 (24.13%),826,38.677,7.77 (0.84%)
SMC,San Miguel Corporation,172.4 (-0.98%),174.1,180.1 (4.47%),106,68.142,1.40 (0.81%)
SMC2A,San Miguel Corporation Series 2-A Pref.,74 (0.00%),74,76.9 (3.92%),74,,
